licao_id,modulo_id,modulo,n_licao,titulo,doc_min,video_min,estudo_min,bloco,weight
mod_01_l03,mod_01,Língua Portuguesa,3,5 Domínio da estrutura morfossintática do período. 5.1 Emprego das classes de palavras.,18,603,621,P1,5
mod_01_l04,mod_01,Língua Portuguesa,4,4.2 Emprego de tempos e modos verbais.,106,326,432,P1,5
mod_01_l05,mod_01,Língua Portuguesa,5,5.2 Relações de coordenação entre orações e entre termos da oração. 5.3 Relações de subordinação entre orações e entre termos da oração.,482,496,978,P1,5
mod_01_l06,mod_01,Língua Portuguesa,6,6.3 Reorganização da estrutura de orações e de períodos do texto.,895,237,1132,P1,5
mod_01_l07,mod_01,Língua Portuguesa,7,5.4 Emprego dos sinais de pontuação.,492,0,492,P1,5
mod_01_l08,mod_01,Língua Portuguesa,8,5.5 Concordância verbal e nominal.,655,229,884,P1,5
mod_01_l09,mod_01,Língua Portuguesa,9,5.6 Regência verbal e nominal. 5.7 Emprego do sinal indicativo de crase.,414,197,611,P1,5
mod_01_l10,mod_01,Língua Portuguesa,10,Semântica e Tipos de Textos,463,179,642,P1,5
mod_01_l11,mod_01,Língua Portuguesa,11,"4 Domínio dos mecanismos de coesão textual. 4.1 Emprego de elementos de referenciação, substituição e repetição, de conectores e de outros elementos de sequenciação textual.",134,64,198,P1,5
mod_01_l12,mod_01,Língua Portuguesa,12,6 Reescrita de frases e parágrafos do texto. 6.1 Significação das palavras. 6.2 Substituição de palavras ou de trechos de texto,196,175,371,P1,5
mod_07_l02,mod_07,Direito Constitucional,2,1 Constituição da República Federativa do Brasil de 1988. 1.1 Princípios fundamentais.,205,425,630,P2,5
mod_07_l03,mod_07,Direito Constitucional,3,"2 Aplicabilidade das normas constitucionais. 2.1 Normas de eficácia plena, contida e limitada; normas programáticas. 2.2 Emenda, reforma e revisão constitucional.",120,183,303,P2,5
mod_07_l04,mod_07,Direito Constitucional,4,Teoria Geral dos direitos e garantias fundamentais,250,230,480,P2,5
mod_07_l05,mod_07,Direito Constitucional,5,Direitos e Garantias Individuais (parte I),332,269,601,P2,5
mod_07_l06,mod_07,Direito Constitucional,6,Direitos e Garantias Individuais (parte II),188,173,361,P2,5
mod_07_l07,mod_07,Direito Constitucional,7,Remédios Constitucionais,228,339,567,P2,5
mod_07_l08,mod_07,Direito Constitucional,8,Direitos e garantias fundamentais: Direitos Sociais,147,264,411,P2,5
mod_07_l09,mod_07,Direito Constitucional,9,Direitos Políticos,226,471,697,P2,5
mod_07_l10,mod_07,Direito Constitucional,10,Organização Político-Administrativa do Estado,277,498,775,P2,5
mod_07_l11,mod_07,Direito Constitucional,11,Poder Executivo,205,515,720,P2,5
mod_07_l12,mod_07,Direito Constitucional,12,Poder Legislativo,219,323,542,P2,5
mod_07_l13,mod_07,Direito Constitucional,13,Processo Legislativo,253,439,692,P2,5
mod_07_l14,mod_07,Direito Constitucional,14,"Fiscalização contábil, financeira e orçamentária",159,83,242,P2,5
mod_07_l15,mod_07,Direito Constitucional,15,Comissões Parlamentares de Inquérito,98,135,233,P2,5
mod_07_l16,mod_07,Direito Constitucional,16,Poder Judiciário,290,631,921,P2,5
mod_07_l17,mod_07,Direito Constitucional,17,Funções Essenciais à Justiça,219,107,326,P2,5
mod_12_l03,mod_12,Direito Administrativo,3,"9 Organização administrativa. 9.1 Autarquias, fundações, empresas públicas e sociedades de economia mista.",500,465,965,P3,5
mod_12_l04,mod_12,Direito Administrativo,4,"9.2 Entidades paraestatais e terceiro setor. 9.2.1 Serviços sociais autônomos, entidades de apoio, organizações sociais, organizações da sociedade civil de interesse público.",293,155,448,P3,5
mod_12_l05,mod_12,Direito Administrativo,5,"5 Poderes da administração pública. 5.1 Hierárquico, disciplinar, regulamentar e de polícia. 5.2 Uso e abuso do poder.",452,268,720,P3,5
mod_12_l06,mod_12,Direito Administrativo,6,"3 Ato administrativo. 3.1 Conceito, requisitos, atributos, classificação e espécies. 3.2 Extinção do ato administrativo: cassação, anulação, revogação e convalidação. 3.3 Decadência administrativa.",163,324,487,P3,5
mod_12_l07,mod_12,Direito Administrativo,7,"Atos administrativos II: classificação e espécies. Extinção do ato administrativo: cassação, anulação, revogação e convalidação",155,278,433,P3,5
mod_12_l08,mod_12,Direito Administrativo,8,"4 Agentes públicos. 4.1 Disposições constitucionais aplicáveis. 4.2 Conceito. 4.3 Espécies. 4.4 Cargo, emprego e função pública. 4.4.1 Provimento. 4.4.2 Vacância. 4.4.3 Efetividade, estabilidade e vitaliciedade. 4.5 Remuneração. 4.6 Direitos e deveres. 4.7 Responsabilidades. 4.8 Sindicância e processo administrativo disciplinar.",370,471,841,P3,5
mod_12_l09,mod_12,Direito Administrativo,9,12 Licitações,352,511,863,P3,5
mod_12_l10,mod_12,Direito Administrativo,10,Contratos administrativos,296,254,550,P3,5
mod_12_l11,mod_12,Direito Administrativo,11,Lei 14.133/21 - Nova Lei de Licitações e Contratos - NLLC - Parte I,508,621,1129,P3,5
mod_12_l12,mod_12,Direito Administrativo,12,Lei 14.133/21 - Nova Lei de Licitações e Contratos - NLLC - Parte II,246,280,526,P3,5
mod_12_l13,mod_12,Direito Administrativo,13,11 Lei federal nº 9.784/1999 e suas alterações (processo administrativo),120,280,400,P3,5
mod_12_l14,mod_12,Direito Administrativo,14,13 Lei nº 12.527/2011 (Lei de Acesso à Informação),46,97,143,P3,5
mod_12_l15,mod_12,Direito Administrativo,15,8 Serviços públicos. 8.1 Conceito. 8.2 Elementos constitutivos. 8.3 Classificação. 8.4 Princípios. 8.5 Formas de prestação e meios de execução.,203,349,552,P3,5
mod_12_l16,mod_12,Direito Administrativo,16,7 Responsabilidade civil do Estado. 7.1 Evolução histórica. 7.2 Responsabilidade por ato comissivo do Estado. 7.3 Responsabilidade por omissão do Estado. 7.4 Requisitos para a demonstração da responsabilidade do Estado. 7.5 Causas excludentes e atenuantes da responsabilidade do Estado. 7.6 Reparação do dano. 7.7 Direito de regresso.,223,196,419,P3,5
mod_12_l17,mod_12,Direito Administrativo,17,10 Controle da administração pública. 10.1 Controle exercido pela administração pública. 10.2 Controle judicial. 10.3 Controle legislativo.,199,204,403,P3,5
mod_12_l18,mod_12,Direito Administrativo,18,10.4 Improbidade administrativa: Lei federal nº 8.429/1992.,323,356,679,P3,5
mod_12_l19,mod_12,Direito Administrativo,19,14 Lei nº 13.709/2018 (Lei Geral de Proteção de Dados Pessoais – LGPD),179,116,295,P3,5
mod_13_l03,mod_13,Administração Financeira e Orçamentária,3,Evolução conceitual do orçamento,140,391,531,P3,4
mod_13_l04,mod_13,Administração Financeira e Orçamentária,4,Plano Plurianual (PPA); diretrizes orçamentárias (LDO); orçamento anual (LOA); outros planos e programas,228,676,904,P3,4
mod_13_l05,mod_13,Administração Financeira e Orçamentária,5,Créditos adicionais,144,206,350,P3,4
mod_13_l06,mod_13,Administração Financeira e Orçamentária,6,Ciclo orçamentário 1 (federal),253,252,505,P3,4
mod_13_l07,mod_13,Administração Financeira e Orçamentária,7,Ciclo orçamentário 2,100,196,296,P3,4
mod_13_l08,mod_13,Administração Financeira e Orçamentária,8,AFO na Constituição Federal,271,338,609,P3,4
mod_13_l09,mod_13,Administração Financeira e Orçamentária,9,Receita pública,180,598,778,P3,4
mod_13_l10,mod_13,Administração Financeira e Orçamentária,10,Despesa pública,210,382,592,P3,4
mod_13_l11,mod_13,Administração Financeira e Orçamentária,11,Etapas e estágios da Receita e Despesa. Restos a pagar; despesas de exercícios anteriores; dívida flutuante e fundada; suprimento de fundos,161,115,276,P3,4
mod_13_l12,mod_13,Administração Financeira e Orçamentária,12,LRF - Parte 1/4: disposições preliminares e planejamento,172,277,449,P3,4
mod_13_l13,mod_13,Administração Financeira e Orçamentária,13,LRF - Parte 2/4: receita e despesa pública,230,158,388,P3,4
mod_13_l14,mod_13,Administração Financeira e Orçamentária,14,"LRF - Parte 3/4: transferências voluntárias. Destinação de recursos públicos para o setor privado. Transparência, controle e fiscalização",151,145,296,P3,4
mod_13_l15,mod_13,Administração Financeira e Orçamentária,15,LRF - Parte 4/4: dívida e endividamento. Gestão patrimonial.,206,142,348,P3,4
mod_13_l16,mod_13,Administração Financeira e Orçamentária,16,Regimes Fiscais Transitórios e Extraordinários,132,140,272,P3,4
mod_13_l17,mod_13,Administração Financeira e Orçamentária,17,Lei 4.320/64 comentada - Títulos I a IV - Lei Orçamentária Anual,0,147,147,P3,4
mod_13_l18,mod_13,Administração Financeira e Orçamentária,18,"Lei 4.320/64 comentada - Títulos I, IV e VI  – Receitas Orçamentárias",0,201,201,P3,4
mod_13_l19,mod_13,Administração Financeira e Orçamentária,19,Lei 4.320/64 comentada - Título I - Despesas Orçamentárias,0,150,150,P3,4
mod_13_l20,mod_13,Administração Financeira e Orçamentária,20,Lei 4.320/64 comentada - Créditos Adicionais,181,535,716,P3,4
mod_13_l21,mod_13,Administração Financeira e Orçamentária,21,"Lei 4.320/64 comentada - Etapas da Despesa, RP, DEA, SF",194,411,605,P3,4
mod_13_l22,mod_13,Administração Financeira e Orçamentária,22,Lei 4.320/64 comentada - Titulo IX - Contabilidade,0,226,226,P3,4
mod_13_l23,mod_13,Administração Financeira e Orçamentária,23,"Lei 4.320/64 comentada - Títulos VII, V II, X e XI - Fundos Especiais, Controle, Autarquias e Disposições Finais",0,167,167,P3,4
mod_14_l03,mod_14,Administração Geral e Pública,3,Gestão estratégica,105,335,440,P3,4
mod_14_l04,mod_14,Administração Geral e Pública,4,Organização,77,209,286,P3,4
mod_14_l05,mod_14,Administração Geral e Pública,5,Gestão da qualidade,82,0,82,P3,4
mod_14_l06,mod_14,Administração Geral e Pública,6,Gestão de processos,93,0,93,P3,4
mod_14_l07,mod_14,Administração Geral e Pública,7,Gestão de projetos,153,45,198,P3,4
mod_14_l08,mod_14,Administração Geral e Pública,8,Processo decisório,150,227,377,P3,4
mod_14_l09,mod_14,Administração Geral e Pública,9,Teoria geral da administração (TGA),127,0,127,P3,4
mod_14_l10,mod_14,Administração Geral e Pública,10,Controle,151,75,226,P3,4
mod_14_l11,mod_14,Administração Geral e Pública,11,3 Administração pública patrimonialista. 3.1 Administração pública burocrática. 3.2 Administração pública gerencial.,39,61,100,P3,4
mod_14_l12,mod_14,Administração Geral e Pública,12,4 Governança. 4.1 Princípios da governança pública.,47,78,125,P3,4
mod_14_l13,mod_14,Administração Geral e Pública,13,"5 Funções administrativas; planejamento, organização, direção e controle. 6 Ferramentas da administração. 6.1 Análise SWOT. 6.2 Matriz GUT. 6.3 5W2H",216,74,290,P3,4
mod_14_l14,mod_14,Administração Geral e Pública,14,6.4 Ciclo PDCA.,18,0,18,P3,4
mod_14_l15,mod_14,Administração Geral e Pública,15,6.5 Mapas estratégicos.,244,90,334,P3,4
mod_14_l16,mod_14,Administração Geral e Pública,16,Gestão de pessoas,146,118,264,P3,4
mod_14_l17,mod_14,Administração Geral e Pública,17,Gestão por competência,57,116,173,P3,4
mod_14_l18,mod_14,Administração Geral e Pública,18,Liderança,176,277,453,P3,4
mod_14_l19,mod_14,Administração Geral e Pública,19,Motivação,125,228,353,P3,4
mod_16_l02,mod_16,Gestão de Contratos,2,Lei 14.133/21 - Nova Lei de Licitações e Contratos - NLLC - Parte II,246,280,526,P3,4
mod_16_l03,mod_16,Gestão de Contratos,3,"1.2 Instrução Normativa nº 5/2017 da Secretaria de Gestão do Ministério do Planejamento, Desenvolvimento e Gestão.",65,117,182,P3,4
mod_16_l04,mod_16,Gestão de Contratos,4,Elaboração e fiscalização de contratos,75,0,75,P3,4
mod_16_l05,mod_16,Gestão de Contratos,5,Registro e notificação de irregularidades; Definição e aplicação de penalidades e sanções administrativas.,80,0,80,P3,4
mod_11_l03,mod_11,"Análise de Dados, Noções de Estatística e Inteligência Artificial",3,"2.2 Identificação de outliers e análise de séries históricas. 3 Introdução à visualização de dados e storytelling. 3.1 tipos de gráficos (barras, pizza, linha, dispersão, histograma). 3.2 boas práticas para construção de gráficos. 3.3 Princípios de narrativa com dados.",39,0,39,P2,3
mod_11_l04,mod_11,"Análise de Dados, Noções de Estatística e Inteligência Artificial",4,"4 Inteligência artificial generativa. 4.1 Engenharia de prompt (contexto, persona, exemplos e estrutura de saída; encandeamento de prompt)",0,243,243,P2,3
mod_11_l05,mod_11,"Análise de Dados, Noções de Estatística e Inteligência Artificial",5,8 Utilização de Excel para análise de dados (Microsoft 365). 8.1 Importação e manipulação de dados via Power Query. 8.2 Validação de dados. 8.4 Consolidação de dados. 8.7 Formatação condicional. 8.8 Gráficos.,316,234,550,P2,3
mod_11_l06,mod_11,"Análise de Dados, Noções de Estatística e Inteligência Artificial",6,"8.3 Auditoria de fórmulas. 8.6 Fórmulas lógicas, financeiras e de texto.",246,196,442,P2,3
mod_11_l07,mod_11,"Análise de Dados, Noções de Estatística e Inteligência Artificial",7,8.5 Tabelas dinâmicas. 8.8 Gráficos. 8.9 Noções de macro e VBA.,82,296,378,P2,3
mod_17_l06,mod_17,Técnicas de Elaboração de Discursiva,6,TIPOS DE TEXTOS DISCURSIVOS EM PROVAS DE CONCURSOS,16,22,38,P4,3
mod_17_l07,mod_17,Técnicas de Elaboração de Discursiva,7,ELABORAÇÃO DE PEÇAS DE NATUREZA TÉCNICA (PARECERES) EM PROVAS DE CONCURSOS - PARTE 1,29,113,142,P4,3
